paragraph,score
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.10,0
0.7n1,0
1.1.1.1,0
1.1.1.2,0
1.1.1.3,0
1.1.1.4,0
1.1.1.5,0
1.1.1.6,0
1.1.1.7,0
1.1.1.8,0
1.1.1.9,0
1.1.1.10,0
1.1.1.11,0
1.1.1.12,0
1.1.1.1n2,0
1.1.2.1,0
1.1.3.1,0
1.1.3.2,0
1.1.3.3,0
1.1.3.4,0
1.1.3.1n3,0
1.1.4.1,0
1.1.4.2,0
1.1.4.3,0
1.1.4.4,0
1.1.4.5,0
1.1.4.6,0
1.1.4.7,0
1.1.5.1,0
1.1.5.2,0
1.1.5.3,0
1.1.5.4,0
1.1.5.5,0
1.1.5.6,0
1.1.5.7,0
1.1.5.8,0
1.1.5.9,0
1.1.5.10,0
1.1.6.1,0
1.1.6.2,0
1.1.6.3,0
1.1.7.1,0
1.1.7.2,0
1.1.7.3,0
1.1.7.4,0
1.1.7.5,0
1.1.7.6,0
1.1.7.7,0
1.1.7.8,0
1.1.7.9,0
1.1.7.10,0
1.1.7.11,0
1.1.7.12,0
1.1.7.13,0
1.1.7.14,0
1.1.7.15,0
1.1.7.16,0
1.1.7.17,0
1.1.7.18,0
1.1.7.1n4,0
1.1.7.7n5,0
1.2.1.1,0
1.2.1.2,0
1.2.1.3,0
1.2.1.4,0
1.2.1.5,0
1.2.2.1,0
1.2.2.2,0
1.2.2.3,0
1.2.2.4,0
1.2.2.5,0
1.2.2.6,0
1.2.2.7,0
1.2.2.8,0
1.2.2.9,0
1.2.2.10,0
1.2.2.2n6,0
1.2.2.3n7,0
1.2.3.1,0
1.2.3.2,0
1.2.3.3,0
1.2.3.4,0
1.2.3.5,0
1.2.3.6,0
1.2.3.7,0
1.2.3.8,0
1.2.3.9,0
1.2.3.10,0
1.2.3.11,0
1.2.3.12,0
1.2.3.13,0
1.2.3.14,0
1.2.3.15,0
1.2.3.16,0
1.2.3.17,0
1.2.3.7n8,0
1.2.3.11n9,0
1.2.4.1,0
1.2.4.2,0
1.2.4.3,0
1.2.4.4,0
1.2.4.5,0
1.2.4.6,0
1.2.4.7,0
1.2.4.8,0
1.2.4.9,0
1.2.4.10,0
1.2.4.11,0
1.2.4.12,0
1.2.4.13,0
1.2.4.14,0
1.2.4.15,0
1.2.4.16,0
1.2.4.17,0
1.2.4.18,0
1.2.4.19,0
1.2.4.20,0
1.2.4.21,0
1.2.4.22,0
1.2.4.23,0
1.2.4.24,0
1.2.4.25,0
1.2.4.26,0
1.2.4.27,0
1.2.4.28,0
1.2.4.29,0
1.2.4.30,0
1.2.4.31,0
1.2.4.32,0
1.2.4.33,0
1.2.4.12n10,0
1.2.4.21n11,0
1.2.5.1,0
1.2.5.2,0
1.2.5.3,0
1.2.5.4,0
1.2.5.5,0
1.2.5.6,0
1.2.5.7,0
1.2.5.8,0
1.2.5.9,0
1.2.5.10,0
1.2.5.11,0
1.2.5.12,0
1.2.5.13,0
1.2.5.14,0
1.2.5.15,0
1.2.5.16,0
1.2.5.17,0
1.2.5.18,0
1.2.5.19,0
1.2.5.20,0
1.2.5.21,0
1.2.5.22,0
1.2.5.23,0
1.2.5.24,0
1.2.5.25,0
1.2.5.26,0
1.2.5.27,0
1.2.5.28,0
1.2.5.29,0
1.2.5.26n12,0
1.2.6.1,0
1.2.6.2,0
1.2.6.3,0
1.2.6.4,0
1.2.6.5,0
1.2.6.6,0
1.2.6.7,0
1.2.6.8,0
1.2.6.9,0
